,MAPE,MAPE1,MAE,MAE1,RSME,RMSE1
8,0.115503778,0.116304414,5.026511483,5.279036991,9.039094696,9.378227269
11,0.115503778,0.116304414,5.026511483,5.279036991,9.039094696,9.378227269
2,0.12348096,0.120212416,5.026511483,4.994146504,9.156193658,9.174217291
5,0.12348096,0.120212416,5.026511483,4.994146504,9.156193658,9.174217291
29,0.103431292,0.104184746,4.208583138,4.589540737,7.688878163,7.995289167
14,0.105519555,0.104628446,4.473712215,4.515814432,8.156038284,8.23222494
17,0.103431292,0.102520633,4.208583138,4.266405,7.688878163,7.830742816
20,0.103431292,0.102520633,4.208583138,4.266405,7.688878163,7.830742816
23,0.103431292,0.102520633,4.208583138,4.266405,7.688878163,7.830742816
26,0.103431292,0.104268686,4.208583138,4.219119717,7.688878163,7.733890372
32,0.103431292,0.102920399,4.134084047,4.147518746,7.574764353,7.605986093
35,0.103431292,0.102920399,4.134084047,4.147518746,7.574764353,7.605986093
38,0.103431292,0.102920399,4.134084047,4.147518746,7.574764353,7.605986093
1,0.100581528,0.098271176,4.160994774,4.143405518,7.521555698,7.528097266
4,0.100581528,0.098271176,4.160994774,4.143405518,7.521555698,7.528097266
41,0.098329472,0.097655549,4.048033551,4.140821861,7.574764353,7.833823011
44,0.098329472,0.097655549,4.048033551,4.140821861,7.574764353,7.833823011
7,0.091269588,0.091339217,3.945717039,4.097133873,7.091340823,7.336730297
10,0.091269588,0.091339217,3.945717039,4.097133873,7.091340823,7.336730297
65,0.094465875,0.094177887,3.759206293,4.027085007,6.997044221,7.546841207
47,0.098329472,0.105239538,3.805804655,3.944497343,7.314697365,7.478344916
50,0.096198541,0.095291404,3.805804655,3.915415771,7.205720451,7.297722465
53,0.096198541,0.10315964,3.774914473,3.894740662,7.205720451,7.426427389
56,0.096198541,0.10315964,3.774914473,3.894740662,7.205720451,7.426427389
59,0.096198541,0.10315964,3.774914473,3.894740662,7.205720451,7.426427389
71,0.092226736,0.091340554,3.715342045,3.858424112,6.997044221,7.282524113
62,0.096198541,0.095979364,3.759206293,3.855241581,6.997044221,7.197283034
86,0.09220544,0.091281937,3.639989943,3.839847072,6.9567973,7.243366853
68,0.093643644,0.09418628,3.715342045,3.821720897,6.997044221,7.288956124
74,0.092226736,0.096499091,3.706422825,3.798987706,6.997044221,7.284461438
95,0.09125479,0.090999758,3.584646166,3.758953328,6.877565331,7.061528156
98,0.09125479,0.090999758,3.584646166,3.758953328,6.877565331,7.061528156
119,0.089996105,0.089659899,3.544331393,3.753236208,6.807839854,7.039037348
77,0.092226736,0.092824342,3.639989943,3.746449173,6.9567973,7.135803323
80,0.092226736,0.092824342,3.639989943,3.746449173,6.9567973,7.135803323
83,0.092226736,0.092824342,3.639989943,3.746449173,6.9567973,7.135803323
146,0.089996105,0.089724754,3.544331393,3.714603315,6.792822822,7.056086044
28,0.082694105,0.083428731,3.426021889,3.71231335,6.265817855,6.424214642
101,0.09125479,0.092397215,3.584646166,3.67820843,6.877565331,7.04884962
92,0.09163338,0.092329155,3.584646166,3.677235507,6.877565331,6.995416858
104,0.09125479,0.091955184,3.566919535,3.672761804,6.807839854,6.945806725
107,0.09125479,0.091955184,3.566919535,3.672761804,6.807839854,6.945806725
110,0.09125479,0.091955184,3.566919535,3.672761804,6.807839854,6.945806725
13,0.084715197,0.084303889,3.625670439,3.670096331,6.626700815,6.68291873
89,0.09163338,0.091077603,3.590788297,3.665407979,6.91914152,7.041558555
137,0.089996105,0.090251175,3.544331393,3.664522218,6.792822822,6.917361337
140,0.089996105,0.090251175,3.544331393,3.664522218,6.792822822,6.917361337
143,0.089996105,0.090251175,3.544331393,3.664522218,6.792822822,6.917361337
113,0.09125479,0.092493684,3.544331393,3.641510379,6.807839854,6.992929012
116,0.09125479,0.092493684,3.544331393,3.641510379,6.807839854,6.992929012
122,0.089996105,0.091561789,3.544331393,3.63916244,6.807839854,6.961326601
125,0.089996105,0.091561789,3.544331393,3.63916244,6.807839854,6.961326601
128,0.089996105,0.091561789,3.544331393,3.63916244,6.807839854,6.961326601
